task_id,granularity,doc_id,page_no,table_id,logical_subtable_id,bbox,reason_codes,suggested_provider,priority_score,expected_benefit,source_review_id,meta_json
REOCR00011,row,债务人审计报告-2022年,13,0,,"[162, 435, 996, 468]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00219,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00012,row,债务人审计报告-2022年,13,1,,"[161, 689, 992, 724]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00225,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00013,row,债务人审计报告-2022年,13,1,,"[161, 689, 992, 724]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00226,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00014,row,债务人审计报告-2022年,13,1,,"[161, 689, 992, 724]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00227,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00015,row,债务人审计报告-2022年,13,1,,"[161, 722, 992, 758]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00231,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00016,row,债务人审计报告-2022年,13,1,,"[161, 722, 992, 758]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00234,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00017,row,债务人审计报告-2022年,13,3,,"[159, 1209, 985, 1243]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00245,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00018,row,债务人审计报告-2022年,13,3,,"[159, 1242, 985, 1276]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00247,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00019,row,债务人审计报告-2022年,13,3,,"[159, 1242, 985, 1276]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00250,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00020,page,债务人审计报告-2022年,13,14,,,"[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",aliyun_table,10.0,reduce_validation_failures,REV00264,"{""conflict_ids"":[],""has_bbox"":false,""provider"":""tencent_table_v3""}"
REOCR00021,page,债务人审计报告-2022年,13,14,,,"[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",aliyun_table,10.0,reduce_validation_failures,REV00267,"{""conflict_ids"":[],""has_bbox"":false,""provider"":""tencent_table_v3""}"
REOCR00022,page,债务人审计报告-2022年,13,14,,,"[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",aliyun_table,10.0,reduce_validation_failures,REV00270,"{""conflict_ids"":[],""has_bbox"":false,""provider"":""tencent_table_v3""}"
REOCR00023,page,债务人审计报告-2022年,13,9,,,"[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",aliyun_table,10.0,reduce_validation_failures,REV00277,"{""conflict_ids"":[],""has_bbox"":false,""provider"":""tencent_table_v3""}"
REOCR00024,page,债务人审计报告-2022年,13,9,,,"[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",aliyun_table,10.0,reduce_validation_failures,REV00278,"{""conflict_ids"":[],""has_bbox"":false,""provider"":""tencent_table_v3""}"
REOCR00025,page,债务人审计报告-2022年,13,9,,,"[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",aliyun_table,10.0,reduce_validation_failures,REV00281,"{""conflict_ids"":[],""has_bbox"":false,""provider"":""tencent_table_v3""}"
REOCR00026,page,债务人审计报告-2022年,13,9,,,"[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",aliyun_table,10.0,reduce_validation_failures,REV00284,"{""conflict_ids"":[],""has_bbox"":false,""provider"":""tencent_table_v3""}"
REOCR00027,row,债务人审计报告-2022年,14,0,,"[159, 310, 1004, 346]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00286,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00028,row,债务人审计报告-2022年,14,0,,"[159, 310, 1004, 346]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00289,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00029,row,债务人审计报告-2022年,14,2,,"[162, 659, 993, 693]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00292,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00030,row,债务人审计报告-2022年,14,2,,"[162, 692, 993, 725]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00295,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00031,row,债务人审计报告-2022年,14,2,,"[162, 725, 993, 758]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00299,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00032,row,债务人审计报告-2022年,14,2,,"[162, 756, 993, 791]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00303,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00033,row,债务人审计报告-2022年,14,2,,"[162, 756, 993, 791]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00304,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00034,row,债务人审计报告-2022年,14,2,,"[161, 791, 993, 826]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00306,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00035,row,债务人审计报告-2022年,14,2,,"[161, 791, 993, 826]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00307,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00036,row,债务人审计报告-2022年,14,2,,"[161, 791, 993, 826]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00308,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00037,row,债务人审计报告-2022年,14,2,,"[161, 791, 993, 826]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00309,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00038,row,债务人审计报告-2022年,14,2,,"[161, 825, 993, 858]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00312,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00039,row,债务人审计报告-2022年,14,2,,"[161, 856, 993, 889]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00316,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00040,row,债务人审计报告-2022年,14,2,,"[161, 985, 992, 1020]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00329,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00041,row,债务人审计报告-2022年,14,3,,"[159, 1243, 989, 1277]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00333,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00042,row,债务人审计报告-2022年,14,3,,"[159, 1276, 989, 1309]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00335,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00043,row,债务人审计报告-2022年,14,3,,"[159, 1308, 989, 1341]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00336,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00044,row,债务人审计报告-2022年,14,3,,"[159, 1341, 988, 1374]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00338,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00045,row,债务人审计报告-2022年,14,3,,"[159, 1372, 988, 1406]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00340,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00046,row,债务人审计报告-2022年,14,3,,"[159, 1405, 988, 1438]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00342,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00047,row,债务人审计报告-2022年,14,3,,"[159, 1438, 988, 1471]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00344,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00048,row,债务人审计报告-2022年,14,3,,"[159, 1471, 988, 1504]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00346,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00049,page,债务人审计报告-2022年,14,8,,,"[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",aliyun_table,10.0,reduce_validation_failures,REV00363,"{""conflict_ids"":[],""has_bbox"":false,""provider"":""tencent_table_v3""}"
REOCR00050,page,债务人审计报告-2022年,14,8,,,"[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",aliyun_table,10.0,reduce_validation_failures,REV00364,"{""conflict_ids"":[],""has_bbox"":false,""provider"":""tencent_table_v3""}"
REOCR00051,page,债务人审计报告-2022年,14,8,,,"[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",aliyun_table,10.0,reduce_validation_failures,REV00366,"{""conflict_ids"":[],""has_bbox"":false,""provider"":""tencent_table_v3""}"
REOCR00052,page,债务人审计报告-2022年,14,8,,,"[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",aliyun_table,10.0,reduce_validation_failures,REV00367,"{""conflict_ids"":[],""has_bbox"":false,""provider"":""tencent_table_v3""}"
REOCR00053,page,债务人审计报告-2022年,14,8,,,"[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",aliyun_table,10.0,reduce_validation_failures,REV00376,"{""conflict_ids"":[],""has_bbox"":false,""provider"":""tencent_table_v3""}"
REOCR00054,row,债务人审计报告-2022年,15,1,,"[162, 528, 992, 564]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00383,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00055,row,债务人审计报告-2022年,15,1,,"[162, 528, 992, 564]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00384,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00056,row,债务人审计报告-2022年,15,1,,"[161, 564, 992, 599]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00385,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00057,row,债务人审计报告-2022年,15,1,,"[161, 564, 992, 599]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00386,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00058,row,债务人审计报告-2022年,15,1,,"[161, 564, 992, 599]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00387,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00059,row,债务人审计报告-2022年,15,1,,"[161, 564, 992, 599]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00388,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00060,row,债务人审计报告-2022年,15,1,,"[161, 564, 992, 599]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00389,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00061,row,债务人审计报告-2022年,15,1,,"[161, 564, 992, 599]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00390,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00062,row,债务人审计报告-2022年,15,1,,"[161, 599, 992, 632]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00391,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00063,row,债务人审计报告-2022年,15,1,,"[161, 599, 992, 632]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00394,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00064,row,债务人审计报告-2022年,15,1,,"[161, 630, 992, 666]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00396,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00065,row,债务人审计报告-2022年,15,1,,"[161, 630, 992, 666]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00397,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00066,row,债务人审计报告-2022年,15,1,,"[161, 666, 992, 724]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00402,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00067,row,债务人审计报告-2022年,15,1,,"[161, 666, 992, 724]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00403,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00068,row,债务人审计报告-2022年,15,1,,"[161, 722, 992, 756]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00404,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00069,row,债务人审计报告-2022年,15,1,,"[161, 722, 992, 756]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00405,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00070,row,债务人审计报告-2022年,15,1,,"[161, 722, 992, 756]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00406,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00071,row,债务人审计报告-2022年,15,1,,"[161, 755, 993, 789]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00407,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00072,row,债务人审计报告-2022年,15,1,,"[161, 755, 993, 789]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00409,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00073,row,债务人审计报告-2022年,15,1,,"[161, 787, 993, 824]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00410,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00074,row,债务人审计报告-2022年,15,1,,"[161, 787, 993, 824]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00413,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00075,row,债务人审计报告-2022年,15,1,,"[161, 787, 993, 824]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00414,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00076,row,债务人审计报告-2022年,15,1,,"[161, 787, 993, 824]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00415,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00077,row,债务人审计报告-2022年,15,1,,"[161, 822, 993, 881]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00416,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00078,row,债务人审计报告-2022年,15,1,,"[161, 822, 993, 881]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00417,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00079,row,债务人审计报告-2022年,15,1,,"[161, 880, 992, 916]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00418,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00080,row,债务人审计报告-2022年,15,1,,"[161, 880, 992, 916]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00419,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00081,row,债务人审计报告-2022年,15,1,,"[161, 880, 992, 916]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00420,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00082,row,债务人审计报告-2022年,15,1,,"[161, 914, 992, 949]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00421,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00083,row,债务人审计报告-2022年,15,1,,"[161, 946, 992, 981]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00424,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00084,row,债务人审计报告-2022年,15,2,,"[162, 1233, 988, 1271]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00437,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00085,row,债务人审计报告-2022年,15,2,,"[162, 1233, 988, 1271]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00438,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00086,row,债务人审计报告-2022年,15,2,,"[162, 1270, 988, 1302]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00439,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00087,row,债务人审计报告-2022年,15,2,,"[162, 1270, 988, 1302]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00440,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
